INFO 2025-08-14 18:00:52,812 basehttp 30976 8136 "GET /admin/services/typeservice/5/change/ HTTP/1.1" 200 20432
INFO 2025-08-14 18:00:52,891 basehttp 30976 8136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 18:01:16,764 basehttp 30976 8136 "POST /admin/services/typeservice/5/change/ HTTP/1.1" 302 0
INFO 2025-08-14 18:01:16,801 basehttp 30976 8136 "GET /admin/services/typeservice/ HTTP/1.1" 200 21336
INFO 2025-08-14 18:01:16,883 basehttp 30976 8136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 18:01:26,082 basehttp 30976 8136 "GET /admin/services/companyconfiguration/ HTTP/1.1" 200 11995
INFO 2025-08-14 18:01:27,307 basehttp 30976 8136 "GET /admin/services/companyconfiguration/add/ HTTP/1.1" 200 20114
INFO 2025-08-14 18:01:27,379 basehttp 30976 8136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 18:03:38,286 basehttp 30976 8136 "POST /admin/services/companyconfiguration/add/ HTTP/1.1" 302 0
INFO 2025-08-14 18:03:38,314 basehttp 30976 8136 "GET /admin/services/companyconfiguration/ HTTP/1.1" 200 13006
INFO 2025-08-14 18:03:59,681 basehttp 30976 8136 "GET /admin/services/typeservice/ HTTP/1.1" 200 20988
INFO 2025-08-14 18:03:59,777 basehttp 30976 8136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 18:04:06,486 basehttp 30976 8136 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 12216
INFO 2025-08-14 18:06:44,381 basehttp 30976 8136 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 12216
INFO 2025-08-14 18:06:49,663 basehttp 30976 8136 "GET /admin/services/companyconfiguration/ HTTP/1.1" 200 12769
INFO 2025-08-14 18:06:52,896 basehttp 30976 8136 "GET /admin/services/companyconfiguration/1/change/ HTTP/1.1" 200 22292
INFO 2025-08-14 18:06:52,982 basehttp 30976 8136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-08-14 19:26:04,615 log 30976 29956 Not Found: /api/homepage/
WARNING 2025-08-14 19:26:04,619 log 30976 31488 Not Found: /api/homepage/
WARNING 2025-08-14 19:26:04,620 basehttp 30976 29956 "GET /api/homepage/ HTTP/1.1" 404 5153
WARNING 2025-08-14 19:26:04,620 basehttp 30976 31488 "GET /api/homepage/ HTTP/1.1" 404 5153
WARNING 2025-08-14 19:27:21,316 log 30976 31488 Not Found: /api/homepage/
WARNING 2025-08-14 19:27:21,317 basehttp 30976 31488 "GET /api/homepage/ HTTP/1.1" 404 5153
WARNING 2025-08-14 19:27:21,325 log 30976 29956 Not Found: /api/homepage/
WARNING 2025-08-14 19:27:21,326 basehttp 30976 29956 "GET /api/homepage/ HTTP/1.1" 404 5153
WARNING 2025-08-14 19:28:50,064 log 30976 29956 Not Found: /api/homepage/
WARNING 2025-08-14 19:28:50,064 basehttp 30976 29956 "GET /api/homepage/ HTTP/1.1" 404 5153
WARNING 2025-08-14 19:28:50,073 log 30976 31488 Not Found: /api/homepage/
WARNING 2025-08-14 19:28:50,074 basehttp 30976 31488 "GET /api/homepage/ HTTP/1.1" 404 5153
INFO 2025-08-14 19:30:47,888 autoreload 33784 22328 Watching for file changes with StatReloader
INFO 2025-08-14 19:35:12,312 autoreload 33784 22328 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\views.py changed, reloading.
INFO 2025-08-14 19:35:13,385 autoreload 32904 32460 Watching for file changes with StatReloader
INFO 2025-08-14 19:35:16,227 autoreload 32904 32460 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\views.py changed, reloading.
INFO 2025-08-14 19:35:17,314 autoreload 384 33448 Watching for file changes with StatReloader
INFO 2025-08-14 19:35:21,010 autoreload 384 33448 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\views.py changed, reloading.
INFO 2025-08-14 19:35:21,988 autoreload 33788 29820 Watching for file changes with StatReloader
INFO 2025-08-14 19:35:24,673 autoreload 33788 29820 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\views.py changed, reloading.
INFO 2025-08-14 19:35:25,764 autoreload 23912 32776 Watching for file changes with StatReloader
INFO 2025-08-14 19:35:43,309 autoreload 23912 32776 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\urls.py changed, reloading.
INFO 2025-08-14 19:35:44,568 autoreload 31152 32372 Watching for file changes with StatReloader
INFO 2025-08-14 19:35:47,167 autoreload 31152 32372 C:\Users\RogSt\Desktop\AGAH_Solutions\backend\services\urls.py changed, reloading.
INFO 2025-08-14 19:35:48,226 autoreload 7152 30808 Watching for file changes with StatReloader
INFO 2025-08-14 19:36:18,927 autoreload 6048 32876 Watching for file changes with StatReloader
INFO 2025-08-14 19:36:25,058 basehttp 6048 30428 "GET /api/homepage/ HTTP/1.1" 200 5922
INFO 2025-08-14 19:36:25,351 basehttp 6048 30428 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-08-14 19:36:25,358 basehttp 6048 23572 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-08-14 19:36:25,370 basehttp 6048 33736 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-08-14 19:36:25,373 basehttp 6048 9752 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-08-14 19:36:25,400 basehttp 6048 30428 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-08-14 19:36:25,413 basehttp 6048 9752 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-08-14 19:36:25,414 basehttp 6048 28800 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-08-14 19:36:25,424 basehttp 6048 30428 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-08-14 19:36:25,426 basehttp 6048 28800 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-08-14 19:36:25,436 basehttp 6048 33736 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-08-14 19:36:25,443 basehttp 6048 23572 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-08-14 19:36:25,486 basehttp 6048 28932 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
WARNING 2025-08-14 19:36:25,734 log 6048 28932 Not Found: /favicon.ico
WARNING 2025-08-14 19:36:25,734 basehttp 6048 28932 "GET /favicon.ico HTTP/1.1" 404 5415
INFO 2025-08-14 19:36:29,804 basehttp 6048 26208 "GET /api/homepage/ HTTP/1.1" 200 324
INFO 2025-08-14 19:36:29,814 basehttp 6048 33036 "GET /api/homepage/ HTTP/1.1" 200 324
INFO 2025-08-14 19:39:06,667 basehttp 6048 32316 "GET /api/homepage/ HTTP/1.1" 200 324
INFO 2025-08-14 19:39:06,672 basehttp 6048 4008 "GET /api/homepage/ HTTP/1.1" 200 324
INFO 2025-08-14 19:39:30,998 basehttp 6048 4008 "GET /api/homepage/ HTTP/1.1" 200 324
INFO 2025-08-14 19:39:31,004 basehttp 6048 4008 "GET /api/homepage/ HTTP/1.1" 200 324
